№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание),Предложения по автоматизации шага процесса
0,Взыскатель,"","",Возникла необходимость в признании и приведении в исполнение решения иностранного суда/ иностранного арбитражного решения,"","У Взыскателя возникла необходимость в признании и приведении в исполнение решения иностранного суда/ иностранного арбитражного решения. Согласно ч. 1 ст. 241 АПК РФ решения судов иностранных государств, принятые ими по спорам и иным делам, возникающим при осуществлении предпринимательской и иной экономической деятельности (иностранные суды), решения третейских судов и международных коммерческих арбитражей, принятые ими на территориях иностранных государств по спорам и иным делам, возникающим при осуществлении предпринимательской и иной экономической деятельности (иностранные арбитражные решения), признаются и приводятся в исполнение в Российской Федерации арбитражными судами, если признание и приведение в исполнение таких решений предусмотрено международным договором Российской Федерации и Федеральными законами.",""
1,Взыскатель,"","",Получить удостоверенные документы,"","Взыскатель получает удостоверенные документы. Документы признаются удостоверенными надлежащим образом, если они соответствуют требованиям статьи 255 АПК РФ (ч.6 ст. 242 АПК РФ). Согласно ст. 255 к документами, выданным, составленным или удостоверенные по установленной форме компетентными органами иностранных государств вне пределов Российской Федерации по нормам иностранного права в отношении российских организаций и граждан или иностранных лиц предъявляются требования о легализации или проставлении апостиля, если иное не установлено международным договором Российской Федерации для принятия арбитражными судами в Российской Федерации. А также к документам предъявляются требования о сопровождении надлежаще заверенным переводом. Согласно ст. 30 Постановления Пленума ВС РФ от 27.06.2017 N 23 Легализация иностранного документа необходима для подтверждения источника происхождения доказательства в арбитражном процессе, но не исключает проверки со стороны суда с целью установления правильности содержащихся в нем сведений по существу. Консульские должностные лица Российской Федерации легализуют иностранные документы, представляемые в официальные органы на территории Российской Федерации, в порядке, предусмотренном ст. 27 Федерального закона от 5 июля 2010 года N 154-ФЗ ""Консульский устав Российской Федерации""Арбитражный суд принимает официальные документы без их легализации в случаях, предусмотренных Конвенцией, отменяющей требования легализации иностранных официальных документов (Гаага, 5 октября 1961 года). В соответствии с этой Конвенцией на документах, совершенных компетентными органами одного государства и предназначенных для использования на территории другого государства, проставляется специальный штамп (апостиль)",""
2,Взыскатель,"","",Перевести документы,"",Взыскатель переводит и заверяет надлежащим образом документы для направления в суд,""
3,Взыскатель,Решение иностранного суда,"Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решенияДокумент, подтверждающий уплату государственной пошлины",ТБП7.Подать документы в суд,"","Переход к ТП ""Подать документы в суд"". Результатом данного ТП станет направление документов Взыскателем в суд. Согласно ч.1 ст. 242 АПК РФ заявление о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений подается стороной, в пользу которой принято решение (Взыскатель), в арбитражный суд субъекта Российской Федерации по месту нахождения или месту жительства должника либо, если его место нахождения или место жительства неизвестно, по месту нахождения имущества должника. Заявление может быть подано в арбитражный суд на бумажном носителе или в электронном виде, в том числе в форме электронного документа, и должно быть подписано взыскателем или его представителем. К заявлению предъявляются требования по содержанию согласно ч.2 ст. 242 АПК РФ. К прилагаемым документам предъявляются требования ч.3 и ч.4 ст. 242 АПК РФ. Согласно ч.5 ст.242 АПК РФ к заявлению прикладывается документ, подтверждающий уплату государственной пошлины в размере аналогичном при подаче в арбитражный суд заявления о выдаче исполнительного листа на принудительное исполнение решения третейского суда. Согласно ч.13 ст. 333.21 НК РФ для данного типа заявления государственная пошлина исчисляется в размере 30 процентов государственной пошлины, исчисленной по правилам подпункта 1 настоящего пункта, исходя из суммы, подтвержденной соответствующим решением.",""
4,Взыскатель,"","",Ожидать рассмотрение,"",Взыскатель ожидает рассмотрение заявление,""
5,Взыскатель,"","",Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения подано в суд,"",Завершение процесса,""
6,Канцелярия,Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,—,Поступило заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,—,Канцелярия получает Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,Автоматическое уведомление о поступлении заявления
7,Канцелярия,Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день",Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ,Возможна автоматизация приема и сканирования документов
8,Канцелярия,Зарегистрированное заявление (Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения),Дело/документ для передачи судье,ТБП12.Передать дело/документ судье,"",Переход к типовому процессу «Передать дело/документ судье»Результатом данного технологического процесса станет оформление и передача зарегистрированного судебного дела сотрудником канцелярии судье с внесением данных о деле в соответствующий реестр суда,Возможна автоматизация маршрутизации документо
9,Судья,Зарегистрированное заявление (Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения),-Определение о возвращении заявления-Определение об оставлении заявления без движения-Определение об отказе в принятии заявления-Определение о принятии заявления-Определение о назначении СЗ,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о принятии"". Судья рассматривает вопрос о принятии заявления к производству. Согласно ч.1 ст.243 Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения рассматривается судьей единолично по правилам рассмотрения дела арбитражным судом первой инстанцииПринятие:По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления. О принятии заявления арбитражный суд выносит определение, которым возбуждается производство по делу. Копии определения направляется ЛУВД не позднее следующего дня после его принятия.",Возможна автоматизация подготовки проекта судебного акт
