№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель,"","","Появилась необходимость подать заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже","","У заявителя появилась необходимость подать заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже. Согласно ч. 1 ст. 1 ст. 248.2 АПК РФ Лицо, в отношении которого инициировано разбирательство в иностранном суде, международном коммерческом арбитраже, находящихся за пределами территории Российской Федерации, по спорам, указанным в статье 248.1 настоящего Кодекса, или при наличии доказательств того, что такое разбирательство будет инициировано, вправе обратиться в арбитражный суд субъекта Российской Федерации по месту своего нахождения или месту жительства с заявлением о запрете инициировать или продолжать такое разбирательство в иностранном суде, международном коммерческом арбитраже, находящихся за пределами территории Российской Федерации, в порядке, установленном настоящей статьей."
1,Заявитель,"","Заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже ( с прилагаемыми документами)",ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Заявитель направляет в суд Заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже с прилагаемыми документы. К заявлению предъявляются требования по форме и содержанию согласно п.1-6 ч.2 ст. 248.2 АПК РФ.Согласно ч.4 ст. 248.2 в качестве прилагаемых документов к заявлению относятся: 1) копии документов, подтверждающих намерение инициировать разбирательство в иностранном суде, международном коммерческом арбитраже, находящихся за пределами территории Российской Федерации, либо факт начала разбирательства в иностранном суде, международном коммерческом арбитраже, в том числе претензии, требования, иски и иные документы;2) копии документов, подтверждающих исключительную компетенцию арбитражных судов в Российской Федерации по рассмотрению спора;3) иные документы, указанные в статье 126 АПК РФ"
2,Заявитель,"","",Завершение процесса,"",Завершение процесса
3,Канцелярия суда ,"Заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже ( с прилагаемыми документами)","","Поступило заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже","","Канцелярия фиксирует поступление Заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже (с прилагаемыми документами)"
4,Канцелярия,"Зарегистрированное  заявление (Заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже)","",ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД, автоматическое распределение на судью, задача на судью."
5,Судья,"Зарегистрированное  заявление (Заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже)",-Определение о возвращении заявления-Определение об оставлении заявления без движения-Определение об отказе в принятии заявления-Определение о принятии заявления-Определение о назначении СЗ,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о принятии"". В результате данного ТП Судья рассматривает вопрос о принятии  заявления к производству. Согласно ч.5 ст.248.2 АПК РФ Заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитраже рассматривается по правилам рассмотрения дела арбитражным судом первой инстанции. Принятие заявления:По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству исковое заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления. О принятии искового заявления арбитражный суд выносит определение, которым возбуждается производство по делу. Копии определения направляется ЛУВД не позднее следующего дня после его принятия."
6,Судья,"","",Заявление принято к рассмотрению?Эксклюзивный шлюз,"","Определяется, принято ли заявление к рассмотрениюДа: переход к шагу 20Нет: переход к шагу 7"
7,Судья,—,—,6 месяцев с даты вступления в законную силу СА,—,Судья ожидает 6 месяцев с даты вступления в законную силу СА
8,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
9,Судья,—,—,Завершение процесса передачи дела в архив,—,Завершение процесса передачи дела в архив
10,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",Определение о принятии к производству,"",Получено определение о принятии,"","Лица, которые могут инициировать или инициировали разбирательство в иностранном суде получают определение о принятии заявления к производству"
11,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде","","",Ознакомиться с материалами дела в ЛК,"","Лица, которые могут инициировать или инициировали разбирательство в иностранном суде знакомятся с материалами дела в ЛК"
12,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",—,—,Необходимо подать отзыв?Эксклюзивный шлюз,—,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде принимают решение необходимо ли подать отзыв на заявление?Да: переход к шагу 14Нет: переход к шагу 13"
13,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",—,—,Лицо ознакомлено.,—,Завершение процесса
14,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде","",Отзыв на заявление,ТБП7.Подать документы в суд,"Срок для предоставления отзывов/возражений, указанный в определении суда","Переход к Типовому процессу «Подать документы в суд»Итогом этого ТП будет подготовленный и сформированный отзыв на заявление заявление, который Лица, которые могут инициировать или инициировали разбирательство в иностранном суде подают в суд"
15,Система,"","",Ограничить подачу,"",Система ограничивает подачу
16,Система,"","",Ограничена подача в связи с окончанием срока установленного судом.,"",Завершение процесса
17,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде","","",Завершение процесса,"",Завершение процесса
18,Канцелярия,Отзыв на заявление,"",Поступил документ по делу,"",Канцелярия принимает и регистрирует отзыв на заявление
19,Канцелярия,Отзыв на заявление,Зарегистрированный документ ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД,формирование связи карточки документа с карточкой дела, задача на судью"
20,Помощник судьи,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 30"
21,Заявитель ,—,"",Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)."
