№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Сотрудник ответственный за ведение стат. отчетности,"","",Возникла необходимость подготовить оперативный  отчет,"","Для обеспечения качественного и своевременного рассмотрения дел с учетом нагрузки и специализации судей, для проведения аналитической работы в судах по указанию председателя суда может вводиться оперативная статистическая и иная справочная информация, содержащая статистические показатели, носящие уточняющий и дополнительный характер, формируемая из данных автоматизированного судебного делопроизводства."
1,Сотрудник ответственный за ведение стат. отчетности,Данные учетно-статистических карточек,Рассчитанный отчет по утвержденной форме,ТБП2.Сформировать отчет,Сроки устанавливаются председателем суда,"В соответствии с задачами и функциями арбитражных судов специалист, ответственный за судебную статистику, выполняет следующие функции в подсистеме «Судебное делопроизводство».Осуществляет расчет утвержденных форм статистической отчетности.Проверяет выполнение контрольных соотношений для рассчитанных форм.Основой формирования статистических отчетов являются данные, внесенные в картотеки (журналы) автоматизированного судебного делопроизводства по делам и материалам.Переход к типовому процессу ""Сформировать отчет"""
2,Сотрудник ответственный за ведение стат. отчетности,"","",Отчет готовиться по внутренней форме? Эксклюзивный шлюз,"","Сотрудник ответственный за ведение стат. отчетности определяет форму представления данныхОтчет готовиться по внутренней форме?Да – переход к шагу 3,Нет – переход к шагу 4."
3,Сотрудник ответственный за ведение стат. отчетности,Рассчитанный отчет по утвержденной форме,Оперативный отчет по внутренней форме,Внести данные в внутреннюю форму,"",Сотрудник ответственный за ведение стат. отчетности заполняет внутренюю форму представления данных
4,Сотрудник ответственный за ведение стат. отчетности,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз для координации процесса, переход к шагу 5"
5,Сотрудник ответственный за ведение стат. отчетности,"","",Требуются  дополнительные данные? Эксклюзивный шлюз,"","Сотрудник ответственный за ведение стат. отчетности определяет необходимость сбора дополнительных данныхДа – переход к шагу 6,Нет – переход к шагу 8."
6,Сотрудник ответственный за ведение стат. отчетности,ИС суда,Дополнительные данные для отчета,Получить дополнительные данные,"",Сотрудник ответственный за ведение стат. отчетности получает дополнительные данные через поиск в ИС
7,Сотрудник ответственный за ведение стат. отчетности,Дополнительные данные для отчета,Оперативный отчет по внутренней форме,Внести данные в внутреннюю форму,"",Сотрудник ответственный за ведение стат. отчетности вносит дополнительные данные во внутреннюю форму
8,Сотрудник ответственный за ведение стат. отчетности,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз для координации процесса, переход к шагу 9"
9,Сотрудник ответственный за ведение стат. отчетности,Рассчитанный отчет,Проверенный рассчитанный отчет,Подготовить отчет,"",Сотрудник ответственный за ведение статистической отчетности проверяет полноту и достоверность оперативного отчета
10,Сотрудник ответственный за ведение стат. отчетности,Рассчитанный отчет,Реестр передачи,Передать отчет на проверку и согласование ,"",Сотруднику ответственному в соответствии с приказом о распределении обязанностей передаётся отчет на проверку и согласование.
11,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Реестр передачи,Рассчитанный отчет,Получить отчет ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей получает отчет на проверку и согласование.
12,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Рассчитанный отчет,Проверенный отчет,Проверить показатели в отчете ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей проверяет полноту и достоверность сведений в отчете.
13,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,"","",Данные отчета корректны? Эксклюзивный шлюз,"","Лицо ответственное в соответствии с приказом о распределении обязанностей определяет корректность данных в отчете Переход к шагам 14, 17"
14,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Проверенный отчет,Согласованный и подписанный отчет,Подписать отчет ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей подтверждает полноту и достоверность сведений в отчете и подписывает согласованный отчет.
15,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Согласованный и подписанный отчет,Реестр передачи,Передать отчет ,"","Лицо ответственное в соответствии с приказом о распределении обязанностей передает согласованный отчет в подразделение, ответственное за ведение судебной статистики."
16,Сотрудник ответственный за ведение стат. отчетности,Реестр передачи,Согласованный и подписанный отчет,Получить отчет ,"",Сотрудник ответственный за ведение статистической отчетности получает согласованный отчет.
17,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Проверенный отчет с ошибками,Исправленный вручную отчетОписание причины изменений,Внести изменения в сформированный отчет,"",Лицо ответственное в соответствии с приказом о распределении обязанностей вносит изменения в сформированный отчет
18,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Исправленный вручную отчетОписание причины изменений,Согласованный и подписанный исправленный вручную отчетОписание причины изменений,Подписать отчет с исправлениями ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей подтверждает полноту и достоверность сведений в отчете с исправлениями и подписывает согласованный отчет.
19,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Согласованный и подписанный исправленный вручную отчетОписание причины изменений,Реестр передачи,Передать отчет ,"","Лицо ответственное в соответствии с приказом о распределении обязанностей передает согласованный отчет в подразделение, ответственное за ведение судебной статистики."
20,Сотрудник ответственный за ведение стат. отчетности,Реестр передачи,Согласованный и подписанный исправленный вручную отчетОписание причины изменений,Получить отчет ,"",Сотрудник ответственный за ведение статистической отчетности получает согласованный отчет.
21,Сотрудник ответственный за ведение стат. отчетности,Согласованный и подписанный исправленный вручную отчетОписание причины изменений,Исправленный вручную отчет по суду,Внести изменения в сводный отчет,"","Сотрудник ответственный за ведение статистической отчетности получает получает информацию об ошибках, вносит изменения в сводный отчет по суду."
22,Сотрудник ответственный за ведение стат. отчетности,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз для координации процесса, переход к шагу 23"
23,Сотрудник ответственный за ведение стат. отчетности,"","",Все отчеты согласованы? Эксклюзивный шлюз,"",Определяется согласованы ли отчеты по всем структурным подразделениям Да: переход к шагу 27Нет: переход к шагу 24
24,Сотрудник ответственный за ведение стат. отчетности,Информация об отсутствии согласованного и подписанного отчета,Уведомление об истечении срока согласования отчета,Уведомить об истечении срока согласовании отчета ,"",Сотрудник ответственный за ведение статистической отчетности уведомляет лиц ответственных в соответствии с приказом о распределении обязанностей об истечении срока согласования отчета
25,Сотрудник ответственный за ведение стат. отчетности,"","",Ожидать согласования отчетов,"",Сотрудник ответственный за ведение статистической отчетности мониторит получение согласованных отчетов по всем структурным подразделениям
