№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание),Предложения по автоматизации шага процесса
0.,Сотрудник отдела кадров,"","",Возникла необходимость принять   локальный акт по кадровым вопросам,"",Возникла необходимость принять   локальный акт по кадровым вопросам,""
1.,Сотрудник отдела кадров,"","",Эксклюзивный шлюз ,"",Эксклюзивный шлюз переход к шагу 2,""
2.,Сотрудник отдела кадров,"","",Определить необходимость доработки проекта акта,"",Сотрудник отдела кадров определяет если проект акта необходимо доработать,""
3.,Сотрудник отдела кадров,"","",Требуется доработка проекта акта?Эксклюзивный шлюз,"","Определяется если требуется доработка проекта актаЕсли «Да», то переход к шагуЕсли «Нет», то переход к шагу",""
4.,Сотрудник отдела кадров,Замечания к проекту акта,Проект акта,Доработать по замечаниям проект акта,"",Сотрудник отдела кадров дорабатывает проект акта по замечаниям,""
5.,Сотрудник отдела кадров,"",Проект акта,Сформировать проект акта,"",Сотрудник отдела кадров формирует проект акта,""
6.,Сотрудник отдела кадров,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 7",""
7.,Сотрудник отдела кадров,"","",Определить необходимость согласования акта,"",Сотрудник отдела кадров определяет необходимость согласования акта,""
8.,Сотрудник отдела кадров,"","",Необходимо согласование? Эксклюзивный шлюз ,"","Необходимо согласование?Если «Да», то переход к шагу 9Если «Нет», то переход к шагу 15",""
9.,Сотрудник отдела кадров,"",Лист согласования,Сформировать лист согласования,"",Сотрудник отдела кадров формирует лист согласования,""
10.,Руководители структурных подразделений,"","",Рассмотреть проект акта,"",Руководитель структурных подразделений рассматривает проект акта,""
11.,Руководители структурных подразделений,"","",Проект акта согласован? Эксклюзивный шлюз ,"","Проект акта согласован?Если «Да», то переход к шагу 13Если «Нет», то переход к шагу 12",""
12.,Руководители структурных подразделений,Замечания к проекту акта,"",Передать замечания,"",Руководители структурных подразделений формируют замечания и передают их сотруднику отдела кадров,""
13.,Руководители структурных подразделений,"",Проект акта,Поставить визу согласования,"",Руководители структурных подразделений ставят визу согласования,""
14.,Руководители структурных подразделений,"","",Передать акта на утверждение председателю,"",Руководители структурных подразделений передают акт на утверждение председателю,""
15.,Председатель суда,"","",Эксклюзивный шлюз ,"","Эксклюзивный шлюз, переход к шагу 16",""
16.,Председатель суда,Проект акта,"",Рассмотреть проект акта,"",Председатель суда рассматривает проект акта ,""
17.,Председатель суда,"","",Проект согласован? Эксклюзивный шлюз ,"","Проект согласован?Если «Да», то переход к шагу 19Если «Нет», то переход к шагу 18",""
18.,Председатель суда,"",Замечания к проекту акта,Передать замечания,"",Председатель суда формирует замечания и передает их сотруднику отдела кадров,""
19.,Председатель суда,Проект акта,"",Поставить визу согласования,"",Председатель суда ставит визу согласования,""
20.,Лицо ответственное за ведение бланков строгой отчетности,"","",Распечатать на бланке строгой отчетности,"",Лицо ответственное за ведение бланков строгой отчетности печатает акт на бланке строгой отчетности,""
