№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Лицо, ответственное за распределение","Зарегистрированные в САС документы, требующие распределения",—,Документы зарегистрированы в САС и требуют распределения,—,"Лицо, ответственное за распределение принял по реестру документ/дело, зарегистрированный с САС и требующий распределения судье. Старт процесса."
1,"Лицо, ответственное за распределение",Уведомление о необходимости распределения,—,Применяется автомат. распределение?Эксклюзивный шлюз,—,"Лицо, ответственное за распределение решает, есть ли возможность автоматического распределения документа/дела судье. Если «Да», то переход к шагу 2 процесса. Если «Нет», то переход к шагу 25 процесса."
2,"Лицо, ответственное за распределение",Решение об автоматическом распределении,—,Проверить корректность указания специализации,—,"Лицо, ответственное за распределение проверяет корректность указания специализации дела в карточке документа САС."
3,"Лицо, ответственное за распределение",Результат проверки специализации,—,Специализация указана верно?Эксклюзивный шлюз,—,"Лицо, ответственное за распределение оценивает корректна ли указанная специализация. Если «Да», то переход к шагу 5 процесса, Если «Нет», то переход к шагу 4 процесса."
4,"Лицо, ответственное за распределение",Неверно указанная специализация,Карточка документа с исправленной специализацией,Внести в карточку документа специализацию дела,—,"Лицо, ответственное за распределение вносит корректную специализацию дела в карточку документа в САС."
5,"Лицо, ответственное за распределение",—,—,Эксклюзивный шлюз,—,Закрывающий шлюз для шага 3 процесса.
6,"Лицо, ответственное за распределение",Карточка документа с корректной специализацией,—,"Проверить заполнение всех полей, необходимых для распределения",—,"Лицо, ответственное за распределение проверяет заполнение всех обязательных полей в карточке документа с САС"
7,"Лицо, ответственное за распределение",Результат проверки полей,—,"Все поля заполнены верно?Лицо, ответственное за распределение",—,"Лицо, ответственное за распределение оценивает корректно ли заполнены все поля карточки дела в САС, необходимые для автоматического распределения. Если «Да», то переход к шагу 9 процесса. Если «Нет», то переход к шагу 8 процесса."
8,"Лицо, ответственное за распределение",Неверно заполненные поля,Карточка документа с исправленными полями,Внести изменения в карточку,—,"Лицо, ответственное за распределение вносит необходимые изменения в карточку документа в САС."
9,"Лицо, ответственное за распределение",—,—,Эксклюзивный шлюз,—,Закрывающий шлюз для шага 7 процесса.
10,Система,Карточка документа с корректными полями,—,Проверить доступность судей для электронного распределения,—,"Система должна автоматически, на основе коэффициента загруженности выбрать судью из числа судей, которые не находятся в отпуске или командировке, не отстранены от рассмотрения дел, специализируются на данной категории споров. Лицо, ответственное за распределение проверяет доступность судей для электронного распределения дел. Такая проверка осуществляется раз в день."
11,"Лицо, ответственное за распределение",Результат проверки доступности,—,Периоды недоступности заполнены верно?,—,"Лицо, ответственное за распределение оценивает корректно ли заполнены периоды недоступности судей в системе. Если «Да», то переход к шагу 13 процесса. Если «Нет» переход к шагу 12 процесса."
