№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание),""
0,Помощник судьи,Заявление об изготовлении мотивированного решения.,-,Возникла необходимость рассмотреть заявление об изготовлении мотивированного СА,-,"Как правило, в порядке упрощенного производства решение содержит лишь резолютивную часть. Но по заявлению лица, участвующего в деле, или в случае подачи апелляционной жалобы по делу, рассматриваемому в порядке упрощенного производства, арбитражный суд составляет мотивированное решение. Заявление о составлении мотивированного решения арбитражного суда может быть подано в течение пяти дней со дня размещения решения, принятого в порядке упрощенного производства (ч. 2 ст. 229 АПК РФ). Помощник судьи инициирует процесс изготовления мотивированного решения в связи с поступившим заявлением от лица.",""
1,Система,Данные по делу судебному/номенклатурному,Вывод системы,Сделать предварительный анализ,-,Система проводит анализ на основе судебного/номенклатурного дела и всех приложений и материалов и подготавливает вывод для пользователя ,""
2,Система,Вывод системы,"Созданное событие, запись в него результатов анализа, уведомление пользователя",Сформировать отчет,-,"Переход в типовой процесс ""Проверить выводы системы""",""
3,Помощник судьи,Уведомление,Вывод пользователя,Проверить выводы системы,-,"Переход к типовому процессу ""Проверить выводы системы""",""
4,Помощник судьи,-,-,Судья на месте?Эксклюзивный открывающий шлюз,-,"Мотивированное решение может быть изготовлено только тем судьей, который подписал резолютивную часть.Если судья, подписавший резолютивную часть решения, отсутствует в день поступления заявления о составлении мотивированного решения, вопрос о составлении мотивированного решения указанным судьей разрешается в пятидневный срок, начинающий исчисляться с момента возобновления исполнения указанным судьей своих обязанностей (ч. 2 ст. 229 АПК РФ).Помощник судьи проверяет, на месте ли судья, подписавший резолютивную часть решения.Эксклюзивный шлюз. Да: переход к шагу 12 Нет: переход к шагу 5",""
5,Помощник судьи,-,-,Судья временно отсутствует?Эксклюзивный открывающий шлюз,-,Если отсутствие судьи — временный факторЭксклюзивный шлюз. Да: переход к шагу 6 Нет: переход к шагу 8,""
6,Система,-,-,Ожидать возвращения судьи,-,Система ожидает возвращения судьи,""
7,Помощник судьи,-,-,Судья приступил к своим обязанностям?Эксклюзивный открывающий шлюз,-,Если судья приступил к обязанностям по возвращенииЭксклюзивный шлюз. Да: переход к шагу 12 Нет: переход к шагу 8,""
8,Помощник судьи,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.,""
9,Помощник судьи,Данные об отсутствии судьи,Занесенные данные в систему и отправленные  ЛУВД в личный кабинет,Известить об отсутствии судьи через ЛК,-,Помощник судьи заполняет данные об отсутствии судьи и отправляет данные из системы арбитражного суда в личный кабинет ЛУВД,""
10,Система,Данные об отсутствии судьи,Отправление в ЛК ,Направить уведомление в ЛК,-,Система отправляет пакет данных об отсутствии судьи в личный кабинет ЛУВД,""
11,Помощник судьи,-,-,Изготовить мотивированную часть СА не представляется возможным в связи с отсутствием судьи.Завершение процесса.,-,Завершение процесса. Изготовить мотивированную часть СА не представляется возможным в связи с отсутствием судьи,""
12,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.,""
13,Судья,-,-,Проверить срок Переход к типовому процессу,-,"Переход к типовому процессу ""Проверить срок"". В рамках процесса судья проверяет, подано ли заявление в срок, установленный АПК (5 дней с момента публикации решения).",""
14,Судья,-,-,Заявление подано в срок?Эксклюзивный открывающий шлюз,-,"Судья решает, было ли подано заявление в установленный срок.Эксклюзивный шлюз. Да: переход к шагу 18 Нет: переход к шагу 15",""
15,Судья,-,Определение о возвращении заявления.,Рассмотреть вопрос о возвращении,-,"Переход к типовому процессу ""Рассмотреть вопрос о возвращении"". Судья рассматривает вопрос о возвращении заявления лицу в связи с нарушением процессуальных сроков. Результатом процесса будет являться определение о возвращении заявления.",""
16,Судья,-,-,Было удовлетворено ходатайство о восстановлении срока?Эксклюзивный открывающий шлюз,-,Эксклюзивный шлюз. Да: переход к шагу 18 Нет: переход к шагу 17,""
17,Судья,-,-,Отказано в изготовлении мотивированного СА.Завершение процесса,-,Отказано в изготовлении мотивированного СА.Завершение процесса,""
18,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.,""
19,Судья,-,-,Удовлетворить ходатайство об изготовлении,5 дней с момента поступления заявления,Судья принимает решение об удовлетворении ходатайства и в дальнейшем приступает к его изготовлению. Срок изготовления мотивированного СА в упрощенном производстве - 5 дней. Формирование СА по шаблону в системе,""
20,Система,-,-,Сохранить данные,-, Система сохраняет данные ,""
21,Судья,-,-,Переход в основной процесс.Завершение процесса,-,Переход в основной процесс.Завершение процесса,""
