№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Необходимо продлить срок рассмотрения дела,—,"Продление срока рассмотрения дела в арбитражном суде — это процессуальное действие, которое допускается в исключительных случаях, когда рассмотрение дела в установленный законом срок невозможно. Регулируется положениями ст. 152 АПК РФ.Судья устанавливает необходимость продления срока рассмотрения дела."
1,Система арбитражного суда,—,Заявление,Система формирует документ мотивированное заявление,—,Система формирует мотивированное заявление и уведомляет пользователя
2,Канцелярия,Заявление о продлении срока,—,ТБП12.Передать дело/документ судье,—,После подписания судьей заявления о продлении срока рассмотрения дела указанное заявление передается председателю суда/заместителю председателя суда. Происходит переход к типовому процессу «Передать дело/документ судье».Результатом данного типового процесса станет передача заявления о продлении срока от судьи председателю/заместителю председателя суда по реестру.
3,Система арбитражного суда,—,—,Поставить задачу о необходимости рассмотрения заявления,—,Система ставит задачу о необходимости рассмотрения заявления
4,Председатель/Заместитель председателя,Заявление о продлении срока,—,Ознакомиться с заявлением/делом,—,Председатель/заместитель председателя суда изучает заявление судьи о продлении срока рассмотрения дела.
5,Председатель/Заместитель председателя,—,—,Необходимо изучить дело? Эксклюзивный шлюз,—,Необходимо изучить дело? Эксклюзивный шлюз
6,Председатель/Заместитель председателя,—,—,Запросить доступ на дело,—,Председатель/Заместитель председателя запрашивает доступ на дело в системе
7,Система арбитражного суда,—,—,Открыть доступ к делу,—,Система открывает доступ к делу запросившему пользователю
8,Председатель/Заместитель председателя,—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 5
9,Председатель/Заместитель председателя,—,—,Параллельный шлюз,—,Параллельный шлюз
10,Председатель/Заместитель председателя,—,—,ТБП5.Проверить срок,—,"Для решения вопроса о возможности продлить срок рассмотрения по делу председатель/заместитель председателя должен проверить не будет ли запрашиваемый срок нарушать максимальный срок рассмотрения дела, предусмотренный законом. При этом не допускается продление срока рассмотрения дела после его истечения. Переход к типовому процессу «Проверить срок». Результатом данного типового процесса станет проверка соблюдения процессуальных сроков продления рассмотрения дела."
11,Председатель/Заместитель председателя,Заявление и материалы дела/ заявление,—,ТБП138.Проверить сложность дела,—,"Срок рассмотрения дела может быть продлен, если дело сложное или требует дополнительных действий, например: много участников (например, в банкротстве); необходимость проведения экспертизы; большой объём доказательств; необходимость истребования документов у государственных органов или из-за границы; проведение процессуальных действий за пределами субъекта РФ. Переход к типовому процессу «Проверить сложность дела».Результатом данного процесса станет оценка сложности дела как основания для продления срока его рассмотрения."
12,Председатель/Заместитель председателя,—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 9
13,Председатель/Заместитель председателя,Заявление о продлении срока,—,Подлежит удовлетворению? Эксклюзивный шлюз,—,"Рассмотрев заявление, изучив материалы дела, оценив сроки и сложность дела председатель/заместитель председателя решает, подлежит ли заявление о продлении срока рассмотрения дела удовлетворению.Если «Да», то переход к шагу 16 процесса.Если «Нет», то переход к шагу 18 процесса. Эксклюзивный шлюз"
14,Председатель/Заместитель председателя,Заявление о продлении срока,Определение о продлении срока рассмотрения дела.,ТБП80.Принять СА,—,"Если заявление судьи о продлении срока рассмотрения дела подлежит удовлетворению, то председатель/заместитель председателя должен принять соответствующий СА. Переход к типовому процессу «Принять СА». Результатом данного типового процесса станет принятие определения о продлении срока рассмотрения дела."
15,Судья,—,—,Продлить срок,—,"Продление срока рассмотрения дела в арбитражном суде — это процессуальное действие, которое допускается в исключительных случаях, когда рассмотрение дела в установленный законом срок невозможно. Регулируется положениями ст. 152 АПК РФ.Судья устанавливает необходимость продления срока рассмотрения дела."
16,Председатель/Заместитель председателя,Заявление о продлении срока,Определение о продлении срока рассмотрения дела.,ТБП80.Принять СА,—,"Если заявление судьи о продлении срока рассмотрения дела подлежит удовлетворению, то председатель/заместитель председателя должен принять соответствующий СА. Переход к типовому процессу «Принять СА». Результатом данного типового процесса станет принятие определения о продлении срока рассмотрения дела."
17,Председатель/Заместитель председателя,—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 13
18,Канцелярия,Заявление о продлении срока,—,ТБП12.Передать дело/документ судье,—,После подписания судьей заявления о продлении срока рассмотрения дела указанное заявление передается председателю суда/заместителю председателя суда. Происходит переход к типовому процессу «Передать дело/документ судье».Результатом данного типового процесса станет передача заявления о продлении срока от судьи председателю/заместителю председателя суда по реестру.
19,Судья,Определение председателя,—,Ознакомиться с определением председателя,—,Судья знакомится с принятым председателем/заместителем председателя определением о продлении срока рассмотрения дела или об отказе в продлении срока рассмотрения дела.
20,Судья,—,—,Параллельный шлюз,—,Параллельный шлюз
21,Система арбитражного суда,Определение председателя,—,Система приобщает определение и заявление к делу,—,Система приобщает определение и заявление к делу. Пользователю приходит уведомление
22,Судья,—,—,Завершение процесса,—,Завершение процесса
23,Канцелярия,Определение председателя/заместителя председателя,—,ТБП46.Направить документ,—,Вынесенное определение по вопросу рассмотрения председателем/заместителем председателя заявления судьи о продлении срока рассмотрения дела должно быть направлено ЛУВД. Происходит переход к типовому процессу «Направить документ».
24,Канцелярия,—,—,Судебные акты отправлены.,—,Завершение процесса
25,"Лицо, участвующее в деле",Направленное определение,—,Получен документ,—,"Лицо, участвующее в деле, получает определение о продлении или отказе в продлении срока рассмотрения дела"
26,"Лицо, участвующее в деле",Полученное определение,—,Ознакомиться с документом,—,"Лицо, участвующее в деле, знакомится с содержанием полученного определения"
27,Система арбитражного суда,—,—,Вернуть время ознакомления,—,Система возвращает дату и время ознакомления
28,"Лицо, участвующее в деле",—,—,Завершение процесса,—,Завершение процесса
